id	Airline	A_ICAO	Time	InitialDate	FinalDate
220790	BEL	LHBP	520	3	28
220791	DLH	EDDM	1240	3	29
220792	UAL	KORD	535	3	31
220793	LBT	UNKNOWN	595	3	27
220794	BEL	EDDT	500	3	30
220797	ETH	LOWW	515	3	31
220799	SAS	EKCH	590	3	31
220800	BEL	LEZL	1215	3	28
220801	THY	UNKNOWN	1110	3	31
220802	RYR	LEBL	1275	3	28
220803	CSA	LKPR	505	3	26
220804	BEL	LEBL	690	3	27
220806	BEL	LFNR	515	3	28
220807	BEL	LFML	505	7	31
220808	SAS	ESSA	1205	3	31
220809	ROT	UNKNOWN	585	17	29
220810	JAF	UNKNOWN	690	3	28
220811	LOT	EPWA	575	3	31
220812	BEL	EPWA	535	3	29
220813	BEL	KJFK	430	3	31
220814	BEL	UNKNOWN	1345	3	22
220815	BEL	UNKNOWN	295	4	26
220816	JAF	UNKNOWN	210	4	28
220817	CAI	LGIR	885	4	29
220818	JAF	LFKJ	1400	4	28
220819	BEL	LDSR	1030	5	28
220821	JAF	UNKNOWN	65	5	30
220823	BEL	UNKNOWN	1135	6	28
220824	JAF	UNKNOWN	645	6	27
220825	DLH	EDDM	765	7	29
220826	CAI	LGKO	135	7	26
220827	DLH	EDDM	550	7	31
220828	BEL	LFKF	1205	7	27
220830	BEL	UNKNOWN	730	7	25
220831	BEL	UNKNOWN	685	9	25
220832	JAF	UNKNOWN	265	9	29
220833	JAF	UNKNOWN	300	13	24
220836	BEL	LEGE	640	15	27
220837	MAC	UNKNOWN	1045	13	27
220838	MAC	UNKNOWN	590	13	27
220839	BEL	LGRP	1400	14	28
220578	BEL	UNKNOWN	20	18	30
220843	BEL	LIMC	500	21	29
223109	EJU	EDDB	595	1	28
223114	RYR	EDDB	1180	3	31
223116	RYR	EDDB	1105	2	30
223118	EJU	EDDB	500	2	31
223120	RYR	EDDB	835	2	31
223122	RYR	EDDB	1275	4	31
223123	RYR	EDDB	760	2	31
223125	RYR	EDDB	1185	2	31
223132	EJU	EDDB	860	2	28
223140	RYR	EDDB	485	2	31
223141	EZY	EDDB	690	2	31
223142	EJU	EDDB	1195	2	31
223143	NAX	EDDB	1275	4	31
223145	EJU	EDDB	865	2	31
223148	RYR	EDDB	1065	4	30
223156	RYR	EDDB	530	2	29
223159	EJU	EDDB	570	4	30
223160	RYR	EDDB	515	2	31
223161	EJU	EDDB	1125	2	31
223164	EJU	EDDB	515	2	31
223168	EJU	EDDB	535	2	28
223171	EJU	EDDB	1155	25	31
223173	EJU	EDDB	520	2	31
223174	EJU	EDDB	515	2	29
223175	EZY	EDDB	1110	2	31
223177	EJU	EDDB	780	2	31
223180	RYR	EDDB	845	25	31
223184	RYR	EDDB	625	2	31
223185	EJU	EDDB	900	2	31
223187	WZZ	EDDB	1160	3	10
223190	EJU	EDDB	525	23	31
223191	RYR	EDDB	755	2	27
223193	EJU	EDDB	1190	2	31
223196	RYR	EDDB	795	12	31
223198	RYR	EDDB	500	6	31
223201	RYR	EDDB	1155	3	31
223212	EJU	EDDB	1180	14	23
223213	EJU	EDDB	820	14	22
223218	AFL	UUEE	1020	0	31
223219	AFL	UUEE	1285	0	31
223220	AFL	UUEE	655	0	31
223221	AFL	UUEE	530	0	31
223224	SDM	ULLI	1030	0	30
223225	MSR	UNKNOWN	885	0	31
223226	SDM	ULLI	590	0	30
223229	EJU	EHAM	985	1	31
223231	EZY	EGGW	540	2	31
223232	PGT	LTFJ	935	2	31
223233	PGT	LTFJ	760	2	31
223235	RYR	UNKNOWN	995	2	31
223236	RYR	LIRA	660	2	31
223239	RYR	LEZL	595	2	31
223240	RYR	EGCC	910	2	25
223242	RYR	LROP	715	2	16
223243	RYR	UNKNOWN	715	15	27
223246	EJU	UNKNOWN	945	2	31
223249	EJU	LIMC	1005	2	31
223250	EJU	LDSR	685	2	28
